postDate,craigId,area,price,title,longitude,beds,latitude,link,numPic,updateDate,date,size,contentLen,reposts
"2015-11-14T13:10:15-0500,2015-11-14T13:10:15-0500,2015-11-28T19:00:34-0500",5315715914, (1820 George st),1000,Amazing 3 Bedroom in Luxury Building!!,-73.901254,,40.699435,/brk/roo/5315715914.html,9,"2015-11-14T13:10:15-0500,2015-11-14T13:10:15-0500,2015-11-28T19:00:34-0500",Nov 28,,16,0
"2015-11-28T16:37:17-0500,2015-11-28T16:37:17-0500,2015-11-28T16:41:25-0500",5335976700, (Brooklyn),1030,Sunny Room Available JAN 1st,,,,/brk/roo/5335976700.html,4,"2015-11-28T16:37:17-0500,2015-11-28T16:37:17-0500,2015-11-28T16:41:25-0500",Nov 28,,15,0
"2015-11-24T19:52:59-0500,2015-11-24T19:52:59-0500,2015-11-28T20:45:59-0500",5331141546,,,$1050 Room in East Williamsburg - Montrose L,-73.94067,,40.709044,/brk/roo/5331141546.html,5,"2015-11-24T19:52:59-0500,2015-11-24T19:52:59-0500,2015-11-28T20:45:59-0500",Nov 28,,9,0
"2015-11-16T18:04:55-0500,2015-11-16T18:04:55-0500,2015-11-28T18:52:13-0500",5319097540, (williamsburg bedstuy border),825,"Bedstuy williamsburg border cozy room for rent! artistic environment,",-73.945932,,40.693497,/brk/roo/5319097540.html,3,"2015-11-16T18:04:55-0500,2015-11-16T18:04:55-0500,2015-11-28T18:52:13-0500",Nov 28,,4,0
"2015-11-26T12:41:10-0500,2015-11-26T12:41:10-0500,2015-11-28T18:59:06-0500",5333121673," (bushwick,Dekalb L)",834,This won't last! Seeking 3 Cool mates for this epic New 5bd 4bath LOFT,-73.920075,,40.702259,/brk/roo/5333121673.html,9,"2015-11-26T12:41:10-0500,2015-11-26T12:41:10-0500,2015-11-28T18:59:06-0500",Nov 28,,34,0
"2015-11-26T12:34:34-0500,2015-11-26T12:34:34-0500,2015-11-28T18:59:16-0500",5333114952," (Bushwick,Dekalb L)",834,Need 3 mates for Huge 5bd 4bath Loft off the L,-73.920075,,40.702259,/brk/roo/5333114952.html,9,"2015-11-26T12:34:34-0500,2015-11-26T12:34:34-0500,2015-11-28T18:59:16-0500",Nov 28,,31,0
"2015-11-19T01:04:06-0500,2015-11-19T01:04:06-0500,2015-11-28T19:00:58-0500",5322567185, (bushwick),900,BRAND NEW RENOVATION WITH ROOF ACCESS,,,,/brk/roo/5322567185.html,14,"2015-11-19T01:04:06-0500,2015-11-19T01:04:06-0500,2015-11-28T19:00:58-0500",Nov 28,,21,0
"2015-11-28T18:58:40-0500,2015-11-28T18:58:40-0500",5336168080, (Bushwick),750,Beautiful Luxury Renovation in Bushwick,-73.907961,,40.682374,/brk/roo/5336168080.html,17,"2015-11-28T18:58:40-0500,2015-11-28T18:58:40-0500",Nov 28,,19,0
"2015-11-10T13:41:02-0500,2015-11-10T13:41:02-0500,2015-11-28T18:58:28-0500",5309466491, (Fort Greene),1200,1 BR in Sweet 3BR,-73.971548,3,40.693134,/brk/roo/5309466491.html,8,"2015-11-10T13:41:02-0500,2015-11-10T13:41:02-0500,2015-11-28T18:58:28-0500",Nov 28,,13,0
"2015-11-24T06:37:25-0500,2015-11-24T06:37:25-0500,2015-11-28T18:02:39-0500",5330018110,,925,Your New Sanctuary ! Brand New 3 bed 1.5 bath for Rent!!,-73.8736,,40.6762,/brk/roo/5330018110.html,11,"2015-11-24T06:37:25-0500,2015-11-24T06:37:25-0500,2015-11-28T18:02:39-0500",Nov 28,,16,0
"2015-11-28T16:10:08-0500,2015-11-28T16:10:08-0500",5335933927, (437 Throop Ave),800,Is there better apartments? Not much!! You must see this New Renovated,-73.941916,,40.687881,/brk/roo/5335933927.html,11,"2015-11-28T16:10:08-0500,2015-11-28T16:10:08-0500",Nov 28,,12,0
"2015-11-28T18:58:14-0500,2015-11-28T18:58:14-0500",5336167615, (Crown Heights/ Prospect Heights),1200,Rooms available in Prospect Heights area in a 4 Bedroom 3 Full Bath,-73.952065,,40.67517,/brk/roo/5336167615.html,24,"2015-11-28T18:58:14-0500,2015-11-28T18:58:14-0500",Nov 28,,26,0
